Run #1,Run #1,Run #2,Run #2,Run #3,Run #3,Run #4,Run #4,Run #5,Run #5,Run #6,Run #6,Run #7,Run #7,Run #8,Run #8,Run #9,Run #9,Run #10,Run #10
Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m)
1.02,0.2731,1.02,0.3523,1.02,0.2716,1.02,0.3564,1.02,0.333,1.02,0.4755,1.02,0.4851,1.02,0.6178,1.02,0.373,1.02,0.4911
1.03,0.27,1.03,0.3552,1.03,0.273,1.03,0.3622,1.03,0.3328,1.03,0.4853,1.03,0.4958,1.03,0.6264,1.03,0.3817,1.03,0.5016
1.04,0.2655,1.04,0.3614,1.04,0.2777,1.04,0.3653,1.04,0.3335,1.04,0.4953,1.04,0.5063,1.04,0.6346,1.04,0.3907,1.04,0.5119
1.05,0.2637,1.05,0.3649,1.05,0.2798,1.05,0.3717,1.05,0.3347,1.05,0.5054,1.05,0.5167,1.05,0.6425,1.05,0.3969,1.05,0.5222
1.06,0.2626,1.06,0.3716,1.06,0.2824,1.06,0.3755,1.06,0.336,1.06,0.5155,1.06,0.53,1.06,0.65,1.06,0.4063,1.06,0.5324
1.07,0.2657,1.07,0.3757,1.07,0.2884,1.07,0.3826,1.07,0.3386,1.07,0.5288,1.07,0.54,1.07,0.6571,1.07,0.4159,1.07,0.5425
1.08,0.2705,1.08,0.383,1.08,0.2917,1.08,0.39,1.08,0.3415,1.08,0.539,1.08,0.5498,1.08,0.6638,1.08,0.4257,1.08,0.5554
1.09,0.2813,1.09,0.3876,1.09,0.2985,1.09,0.3947,1.09,0.3478,1.09,0.5493,1.09,0.5594,1.09,0.6671,1.09,0.4356,1.09,0.5651
1.1,0.2877,1.1,0.3953,1.1,0.3026,1.1,0.4026,1.1,0.3515,1.1,0.5596,1.1,0.5687,1.1,0.673,1.1,0.4456,1.1,0.5747
1.11,0.2915,1.11,0.4033,1.11,0.31,1.11,0.4078,1.11,0.3585,1.11,0.5699,1.11,0.5777,1.11,0.6784,1.11,0.4557,1.11,0.584
1.12,0.2986,1.12,0.4085,1.12,0.3148,1.12,0.4162,1.12,0.3629,1.12,0.58,1.12,0.5865,1.12,0.6804,1.12,0.4659,1.12,0.5932
1.13,0.3061,1.13,0.4169,1.13,0.3229,1.13,0.4248,1.13,0.3706,1.13,0.5901,1.13,0.5949,1.13,0.6849,1.13,0.4762,1.13,0.602
1.14,0.311,1.14,0.4224,1.14,0.3313,1.14,0.4336,1.14,0.3756,1.14,0.6001,1.14,0.6029,1.14,0.686,1.14,0.4865,1.14,0.6076
1.15,0.3191,1.15,0.4311,1.15,0.34,1.15,0.4426,1.15,0.3838,1.15,0.61,1.15,0.6077,1.15,0.6866,1.15,0.4967,1.15,0.6159
1.16,0.3276,1.16,0.4399,1.16,0.3459,1.16,0.4487,1.16,0.3924,1.16,0.6197,1.16,0.615,1.16,0.6898,1.16,0.5069,1.16,0.6239
1.17,0.3363,1.17,0.4488,1.17,0.3551,1.17,0.4579,1.17,0.3982,1.17,0.6292,1.17,0.622,1.17,0.6895,1.17,0.5171,1.17,0.6316
1.18,0.3453,1.18,0.4577,1.18,0.3645,1.18,0.4673,1.18,0.4072,1.18,0.6356,1.18,0.6286,1.18,0.6888,1.18,0.5272,1.18,0.639
1.19,0.3546,1.19,0.4638,1.19,0.3741,1.19,0.4767,1.19,0.4164,1.19,0.6447,1.19,0.6318,1.19,0.6876,1.19,0.5372,1.19,0.643
1.2,0.364,1.2,0.4728,1.2,0.3838,1.2,0.4861,1.2,0.4227,1.2,0.6536,1.2,0.6375,1.2,0.686,1.2,0.5471,1.2,0.6496
1.21,0.3737,1.21,0.4819,1.21,0.3937,1.21,0.4957,1.21,0.4323,1.21,0.6622,1.21,0.6399,1.21,0.6839,1.21,0.5568,1.21,0.6559
1.22,0.3835,1.22,0.491,1.22,0.4037,1.22,0.5052,1.22,0.442,1.22,0.6705,1.22,0.6448,1.22,0.6815,1.22,0.5663,1.22,0.6588
1.23,0.3935,1.23,0.5,1.23,0.4139,1.23,0.5147,1.23,0.4517,1.23,0.6756,1.23,0.6463,1.23,0.6786,1.23,0.5757,1.23,0.6643
1.24,0.4005,1.24,0.5091,1.24,0.4241,1.24,0.5242,1.24,0.4616,1.24,0.6833,1.24,0.6474,1.24,0.6753,1.24,0.5848,1.24,0.6664
1.25,0.4137,1.25,0.518,1.25,0.4343,1.25,0.5336,1.25,0.4716,1.25,0.6907,1.25,0.651,1.25,0.6716,1.25,0.5937,1.25,0.6681
1.26,0.424,1.26,0.5269,1.26,0.4446,1.26,0.543,1.26,0.4816,1.26,0.6948,1.26,0.6512,1.26,0.6646,1.26,0.6024,1.26,0.6724
1.27,0.4343,1.27,0.5326,1.27,0.4549,1.27,0.5522,1.27,0.4916,1.27,0.7015,1.27,0.6509,1.27,0.6602,1.27,0.6077,1.27,0.6733
1.28,0.4446,1.28,0.5413,1.28,0.4652,1.28,0.5583,1.28,0.5016,1.28,0.7049,1.28,0.6502,1.28,0.6524,1.28,0.6158,1.28,0.6738
1.29,0.4549,1.29,0.5498,1.29,0.4754,1.29,0.5673,1.29,0.5116,1.29,0.7079,1.29,0.6491,1.29,0.6473,1.29,0.6236,1.29,0.6739
1.3,0.4653,1.3,0.5581,1.3,0.4855,1.3,0.5762,1.3,0.5215,1.3,0.7105,1.3,0.6476,1.3,0.6389,1.3,0.6281,1.3,0.6735
1.31,0.4755,1.31,0.5663,1.31,0.4956,1.31,0.5849,1.31,0.5313,1.31,0.7127,1.31,0.6457,1.31,0.6332,1.31,0.6352,1.31,0.6728
1.32,0.4857,1.32,0.5713,1.32,0.5055,1.32,0.5903,1.32,0.5411,1.32,0.7145,1.32,0.6433,1.32,0.6243,1.32,0.639,1.32,0.6717
1.33,0.4958,1.33,0.5791,1.33,0.5153,1.33,0.5986,1.33,0.5507,1.33,0.716,1.33,0.6405,1.33,0.6151,1.33,0.6454,1.33,0.6701
1.34,0.5057,1.34,0.5866,1.34,0.5249,1.34,0.6066,1.34,0.5602,1.34,0.717,1.34,0.6344,1.34,0.6086,1.34,0.6484,1.34,0.6682
1.35,0.5155,1.35,0.5939,1.35,0.5344,1.35,0.6144,1.35,0.5695,1.35,0.7176,1.35,0.6309,1.35,0.599,1.35,0.6511,1.35,0.666
1.36,0.5252,1.36,0.598,1.36,0.5436,1.36,0.6189,1.36,0.5787,1.36,0.7178,1.36,0.627,1.36,0.5892,1.36,0.6564,1.36,0.6633
1.37,0.5346,1.37,0.6048,1.37,0.5526,1.37,0.6261,1.37,0.5876,1.37,0.7177,1.37,0.6198,1.37,0.5792,1.37,0.6583,1.37,0.6573
1.38,0.5439,1.38,0.6083,1.38,0.5614,1.38,0.6301,1.38,0.5934,1.38,0.7171,1.38,0.6152,1.38,0.5691,1.38,0.6598,1.38,0.6539
1.39,0.5529,1.39,0.6146,1.39,0.5669,1.39,0.6367,1.39,0.6019,1.39,0.7161,1.39,0.6073,1.39,0.5589,1.39,0.6608,1.39,0.6472
1.4,0.5586,1.4,0.6175,1.4,0.5751,1.4,0.6401,1.4,0.6101,1.4,0.7147,1.4,0.6021,1.4,0.5486,1.4,0.6615,1.4,0.6432
1.41,0.5671,1.41,0.6232,1.41,0.5831,1.41,0.6431,1.41,0.618,1.41,0.7129,1.41,0.5936,1.41,0.5382,1.41,0.6618,1.41,0.6359
1.42,0.5753,1.42,0.6255,1.42,0.5907,1.42,0.6488,1.42,0.6257,1.42,0.7108,1.42,0.5849,1.42,0.5278,1.42,0.6617,1.42,0.6312
